id,address,bedrooms,gla,city,province,postal_code,property_sub_type,structure_type,style,levels,room_count,full_baths,half_baths,main_level_finished_area,upper_lvl_fin_area,bg_fin_area,lot_size_sf,year_built,roof,basement,cooling,heating,close_price,close_date,public_remarks,latitude,longitude,cluster
367,463 Conservatory Dr,3,1500.0,Kingston,Ontario,K7M 9C8,Detached,Detached,"Brick, Vinyl Siding",Two,11,3.0,0.0,,,,3555.5,0.0,,Unfinished,Central Air,Forced Air,674000.0,2025-01-13,"Welcome to this beautifully maintained and spacious family home! This charming residence features three generous bedrooms and two and a half bathrooms. Enjoy entertaining in the separate dining and living rooms, or relax in the open-concept kitchen that seamlessly flows into the inviting eat-in area and family room, complete with a cozy gas fireplace. Step outside through the sliding doors to discover a spacious deck and a lovely, secluded backyard perfect for family gatherings and outdoor enjoyment. Throughout the main and upper floors, you'll find elegant hardwood and ceramic flooring. The upper level boasts three large bedrooms, along with a bonus space ideal for a children's play area or additional living space. Enjoy the convenience of a full bathroom plus a four-piece ensuite. The property also includes a large garage and a double-wide driveway, providing ample parking for up to four vehicles. We can't wait to welcome you home!",44.2325,-76.5901,4
163443,463 Conservatory Drive ,3,1750.0,Kingston ,Ontario,K7M 9C8,Detached,"Detached, 2-Storey ",2-Storey ,2-Storey ,11,0.0,0.0,,,,3535.0,0.0,,Unfinished ,Central Air ,Forced Air ,674000.0,2025-01-13,"Welcome to this beautifully maintained and spacious family home! This charming residence features threegenerous bedrooms and two and a half bathrooms. Enjoy entertaining in the separate dining and livingrooms, or relax in the open-concept kitchen that seamlessly flows into the inviting eat-in area and familyroom, complete with a cozy gas fireplace.Step outside through the sliding doors to discover a spacious deck and a lovely, secludedbackyardperfect for family gatherings and outdoor enjoyment. Throughout the main and upper floors,youll find elegant hardwood and ceramic flooring.The upper level boasts three large bedrooms, along with a bonus space ideal for a children's play area oradditional living space. Enjoy the convenience of a full bathroom plus a four-piece ensuite. The propertyalso includes a large garage and a double-wide driveway, providing ample parking for up to four vehicles.We cant wait to welcome you home!",44.2325,-76.5901,4
378,311 Janette St,3,1500.0,Kingston,Ontario,K7P 0K8,Freehold Townhouse,Freehold Townhouse,2-Storey,Two,11,4.0,0.0,,,,2622.0,0.0,,Fin W/O,Central Air,Forced Air,585000.0,2025-01-14,"Come and see what this fully finished, Barr constructed, townhome has to offer. Sitting on a quiet crescent, on the edge of Woodhaven, is 311 Janette, an end unit townhome, with a deep lot; no feeling like you're in a fishbowl here! The main floor is an open space, with laminate floors, ample storage, lots of southern sunshine, a discrete powder room by the front door and a deck off the eating area - perfect for a BBQ. Upstairs offers hardwood flooring (2023) and three bedrooms, including a generous primary suite, two full bathrooms, and a convenient laundry setup. The basement is a fantastic, finished rec-room space with a walkout to your fenced (2023) yard! There is ample storage adjacent to the utility space and you'll love the useful cold storage area! This townhome has so much to offer we're sure you'll agree.",44.2622,-76.5904,4
130023,311 Janette Street ,3,1300.0,Kingston ,Ontario,K7P 0K8,Freehold Townhouse,"Freehold Townhouse, 2-Storey ",2-Storey ,2-Storey ,11,0.0,0.0,,,,2622.0,0.0,,Finished with Walk-Out ,Central Air ,Forced Air ,585000.0,2025-01-14,"Come and see what this fully finished, Barr constructed, townhome has to offer. Sitting on a quiet crescent, on the edge of Woodhaven, is 311 Janette, an end unit townhome, with a deep lot; no feeling like you're in a fishbowl here! The main floor is an open space, with laminate floors, ample storage, lots of southern sunshine, a discrete powder room by the front door and a deck off the eating area - perfect for a BBQ. Upstairs offers hardwood flooring (2023) and three bedrooms, including a generous primary suite, two full bathrooms, and a convenient laundry setup. The basement is a fantastic, finished rec-room space with a walkout to your fenced (2023) yard! There is ample storage adjacent to the utility space and you'll love the useful cold storage area! This townhome has so much to offer we're sure you'll agree.",44.2622,-76.5904,2
2782,4056 Bath Rd,4,0.0,Kingston,Ontario,K7M 4Y4,Rural Resid,Rural Resid,2-Storey,,13,4.0,0.0,,,,16672.0,0.0,,"Part Bsmt, Unfinished",,Baseboard,685000.0,2025-01-15,"Current valuation for 4056 Bath Rd, South of Taylor-Kidd Blvd, Kingston. Listed for $675,000 on 2025-01-08",44.2407,-76.6102,4
2783,786 HIGH GATE PARK Dr,3,1300.0,Kingston,Ontario,K7M 5Z8,Detached,Detached,Two,Two,7,2.0,0.0,,,,6600.0,0.0,,Finished,,Forced Air,495000.0,2025-01-15,"WELCOME TO 786 HIGH GATE PARK DRIVE, LOCATED IN KINGSTON'S WEST-END IN THE BAYRIDGE WEST AREA CLOSE TO MANY AMENITIES LIKE PARKS, SCHOOLS, SHOPPING, AND RESTAURANTS. THIS WELL CARED FOR 3 LEVEL SIDE SPLIT HOME OFFERS 3 BEDROOMS AND 1.5 BATHS. THE MAIN LEVEL FEATURES AN OPEN CONCEPT LIVING AND DINING ROOM WITH HARDWOOD FLOORS, EAT-IN KITCHEN WITH AMPLE STORAGE SPACE AND WALK-OUT TO PRIVATE BACKYARD.THE UPPER LEVEL HAS 3 COMFORTABLE SIZED BEDROOMS AND A 5-PIECE CHEATER ENSUITE BATHROOM, WHILE THE LOWER LEVEL OFFERS LARGE WINDOWS, DRY BAR, CONVENIENT 2-PIECE BATH, LAUNDRY ROOM AND A WALK-UP TO THE REAR YARD. THE FULLY FENCED YARD FEATURES A PRIVATE COURTYARD, MAKING IT PERFECT FOR GATHERINGS WITH FAMILY AND FRIENDS. DONT MISS THE CHANCE TO MAKE THIS WONDERFUL HOME YOUR OWN!",44.2489,-76.6045,4
138739,786 HIGH GATE PARK Drive ,3,1300.0,Kingston ,Ontario,K7M 5Z8,Detached,"Detached, Sidesplit 3 ",Sidesplit 3 ,Sidesplit 3 ,7,0.0,0.0,,,,6600.0,0.0,,Finished ,,Forced Air ,495000.0,2025-01-15,"WELCOME TO 786 HIGH GATE PARK DRIVE, LOCATED IN KINGSTON'S WEST-END IN THE BAYRIDGE WEST AREA CLOSE TO MANY AMENITIES LIKE PARKS, SCHOOLS, SHOPPING, AND RESTAURANTS. THIS WELL CARED FOR 3 LEVEL SIDE SPLIT HOME OFFERS 3 BEDROOMS AND 1.5 BATHS. THE MAIN LEVEL FEATURES AN OPEN CONCEPT LIVING AND DINING ROOM WITH HARDWOOD FLOORS, EAT-IN KITCHEN WITH AMPLE STORAGE SPACE AND WALK-OUT TO PRIVATE BACKYARD.THE UPPER LEVEL HAS 3 COMFORTABLE SIZED BEDROOMS AND A  5-PIECE CHEATER ENSUITE BATHROOM, WHILE THE LOWER LEVEL OFFERS LARGE WINDOWS, DRY BAR, CONVENIENT 2-PIECE BATH, LAUNDRY ROOM AND A WALK-UP TO THE REAR YARD.  THE FULLY FENCED YARD FEATURES A PRIVATE COURTYARD, MAKING IT PERFECT FOR GATHERINGS WITH FAMILY AND FRIENDS.  DONT MISS THE CHANCE TO MAKE THIS WONDERFUL HOME YOUR OWN!",44.2489,-76.6045,4
2763,784 Downing St,5,1250.0,Kingston,Ontario,K7M 5N2,Detached,Detached,Sidesplit 4,Two,12,2.0,0.0,,,,7150.0,0.0,,Unfinished,Central Air,Forced Air,567500.0,2025-01-17,"Welcome to 784 Downing St located in the charming city of Kingston, ON. This stunning 5-bedroom, 2-bathroom residence boasts a spacious interior designed for comfortable living and entertaining. The open concept layout seamlessly connects the living, dining, and kitchen areas, creating an inviting atmosphere perfect for family gatherings and social events. The gourmet kitchen features elegant granite countertops and plenty of cabinet space, making meal preparation a joy. Step outside to your landscaped backyard oasis, where an inground pool awaits for endless summer fun and relaxation. The walk-out lower level offers a multitude of possibilities, from a cozy family room to a home office or gym. Situated in a lovely area, this home offers both tranquility and convenience, with close proximity to schools, parks, and shopping amenities. This beautiful home is ready to welcome its next family. Explore this exceptional property and make it your own today!",44.2492,-76.5968,4
146595,784 Downing Street ,4,1300.0,Kingston ,Ontario,K7M 5N2,Detached,"Detached, Sidesplit 4 ",Sidesplit 4 ,Sidesplit 4 ,12,0.0,0.0,,,,7150.0,0.0,,Unfinished ,Central Air ,Forced Air ,567500.0,2025-01-17,"Welcome to 784 Downing St located in the charming city of Kingston, ON. This stunning 5-bedroom, 2-bathroom residence boasts a spacious interior designed for comfortable living and entertaining. The open concept layout seamlessly connects the living, dining, and kitchen areas, creating an inviting atmosphere perfect for family gatherings and social events. The gourmet kitchen features elegant granite countertops and plenty of cabinet space, making meal preparation a joy. Step outside to your landscaped backyard oasis, where an inground pool awaits for endless summer fun and relaxation. The walk-out lower level offers a multitude of possibilities, from a cozy family room to a home office or gym. Situated in a lovely area, this home offers both tranquility and convenience, with close proximity to schools, parks, and shopping amenities. This beautiful home is ready to welcome its next family. Explore this exceptional property and make it your own today!Please include mandatory Schedule B with all Offers  -- in Documents.  Deposit information is also in Documents.",44.2492,-76.5968,2
163,593 Roosevelt Dr,4,1880.0,Kingston,Ontario,K7M 8T7,Detached,Detached,Bungalow,One,6,3.0,0.0,,,,6936.0,0.0,,Finished,Central Air,Forced Air,681000.0,2025-01-21,"Welcome to 593 Roosevelt Drive! Nestled in the highly coveted Auden Park neighborhood, within minutes of schools, a golf course, a large conservation area, Lake Ontario, a recreation facility, shopping, and dining, This meticulously maintained 4 bed, 3 bath home is thoughtfully designed for both relaxation and entertaining. As you approach, you're greeted by a warm and inviting entrance, complete with a decorative walkway framed by lush perennial gardens and mature trees. The main level features a convenient powder room, a spacious primary suite with 4-piece ensuite walk in shower, a second bedroom, and a tastefully appointed kitchen showcasing solid cabinetry, granite countertops, and an adjacent dining room perfect for hosting family and friends. Relax in the cozy living room with its gas fireplace, retreat to the sunlit reading nook, or enjoy the peaceful ambiance of the serene sunroom bathed in natural light. The lower level offers even more space, featuring two additional bedrooms, a 3-piece bath, and a comfortable family room with a second gas fireplace. There's also versatile space for a home office, gym, or creative pursuits. Step outside to your private backyard oasis a tranquil haven boasting a large deck, vibrant gardens, and majestic trees. Whether you're entertaining guests or savoring a quiet moment, this outdoor retreat offers something special. As an added bonus, the picturesque Auden Park walking trails are conveniently accessible right from your backyard. Complete with a storage shed and double-car garage, this home is as practical as it is stunning. Don't miss this rare opportunity to own not just a house, but a haven. Offers will be presented on January 21st. Home inspection available!",44.2346,-76.5871,4
