id,address,cluster,id,bedrooms,gla,room_count,full_baths,half_baths,lot_size_sf,year_built,close_price,latitude,longitude,cluster
367,463 Conservatory Dr,4,367,3,1500.0,11,3.0,0.0,3555.5,0.0,674000.0,44.2325,-76.5901,4
163443,463 Conservatory Drive ,4,163443,3,1750.0,11,0.0,0.0,3535.0,0.0,674000.0,44.2325,-76.5901,4
378,311 Janette St,4,378,3,1500.0,11,4.0,0.0,2622.0,0.0,585000.0,44.2622,-76.5904,4
130023,311 Janette Street ,2,130023,3,1300.0,11,0.0,0.0,2622.0,0.0,585000.0,44.2622,-76.5904,2
2782,4056 Bath Rd,4,2782,4,0.0,13,4.0,0.0,16672.0,0.0,685000.0,44.2407,-76.6102,4
2783,786 HIGH GATE PARK Dr,4,2783,3,1300.0,7,2.0,0.0,6600.0,0.0,495000.0,44.2489,-76.6045,4
138739,786 HIGH GATE PARK Drive ,4,138739,3,1300.0,7,0.0,0.0,6600.0,0.0,495000.0,44.2489,-76.6045,4
2763,784 Downing St,4,2763,5,1250.0,12,2.0,0.0,7150.0,0.0,567500.0,44.2492,-76.5968,4
146595,784 Downing Street ,2,146595,4,1300.0,12,0.0,0.0,7150.0,0.0,567500.0,44.2492,-76.5968,2
163,593 Roosevelt Dr,4,163,4,1880.0,6,3.0,0.0,6936.0,0.0,681000.0,44.2346,-76.5871,4
163711,593 Roosevelt Drive ,4,163711,4,1817.0,6,0.0,0.0,6936.0,0.0,681000.0,44.2346,-76.5871,4
2715,657 Gwen Ave,4,2715,4,2000.0,11,3.0,1.0,4038.0,0.0,807000.0,44.2649,-76.5904,4
105835,657 Gwen Avenue ,4,105835,4,2250.0,11,0.0,0.0,4028.0,0.0,807000.0,44.2649,-76.5904,4
101,1341 TREMONT Dr,1,101,3,1550.0,9,3.0,0.0,2099.98,0.0,572999.0,44.2661,-76.5911,1
2682,Unit 402 - 649 DAVIS Dr,4,2682,2,1100.0,7,1.0,0.0,0.0,0.0,330000.0,44.254,-76.5675,4
130134,1341 TREMONT Drive ,1,130134,3,1564.0,9,0.0,0.0,2080.0,0.0,572999.0,44.2661,-76.5911,1
161384,Unit 402 - 649 DAVIS Drive ,4,161384,2,1100.0,7,0.0,0.0,0.0,0.0,330000.0,44.2541,-76.5675,4
52,1028 Bauder Cres,4,52,2,900.0,10,2.0,0.0,8250.0,40.0,542000.0,44.2576,-76.5861,4
2691,1040 Earnhart St,4,2691,3,1750.0,7,4.0,0.0,5650.0,0.0,740000.0,44.2587,-76.6071,4
108041,1028 Bauder Crescent ,4,108041,3,900.0,10,0.0,0.0,8250.0,0.0,542000.0,44.2576,-76.5861,4
166167,1040 Earnhart Street ,2,166167,3,1750.0,7,0.0,0.0,5650.0,0.0,740000.0,44.2587,-76.6071,2
116918,994 WESTMINSTER Place ,4,116918,3,1604.0,8,0.0,0.0,5635.0,0.0,595000.0,44.2526,-76.5912,4
28,2138 Balantrae Circ,4,28,3,1850.0,7,4.0,0.0,3845.06,0.0,745000.0,44.2331,-76.5906,4
166132,2138 Balantrae Circle ,4,166132,4,1750.0,7,0.0,0.0,3815.0,0.0,745000.0,44.2331,-76.5906,4
2,692 Truedell Rd,4,2,3,1252.0,8,1.0,1.0,3775.5,0.0,465000.0,44.2462,-76.5788,4
111830,692 Truedell Road ,4,111830,3,1259.0,8,0.0,0.0,3741.0,0.0,465000.0,44.2462,-76.5788,4
2660,728 Sussex Blvd,4,2660,3,1300.0,5,2.0,0.0,7800.0,0.0,595000.0,44.2467,-76.5959,4
146612,728 Sussex Boulevard ,4,146612,3,1300.0,5,0.0,0.0,7735.0,0.0,595000.0,44.2467,-76.5959,4
3278,Unit 51 - 808 Datzell Lane,4,3278,3,1100.0,8,0.0,0.0,0.0,0.0,375000.0,44.25,-76.5903,4
3312,1126 Dunham St,4,3312,3,2700.0,14,3.0,0.0,7050.0,0.0,935000.0,44.2547,-76.5988,4
14098,983 Westminster Place ,4,14098,5,1721.0,10,1.0,1.0,5929.0,0.0,571400.0,44.2522,-76.5908,4
166972,1126 Dunham Street ,2,166972,5,2750.0,14,0.0,0.0,7050.0,0.0,935000.0,44.2547,-76.5988,2
14081,4061 BATH Rd ,4,14081,4,1820.0,12,2.0,0.0,7344.0,75.0,473030.0,44.2415,-76.6103,4
138693,4061 BATH Road ,4,138693,4,1797.0,12,0.0,0.0,7344.0,0.0,473030.0,44.2415,-76.6103,4
4112,661 Roosevelt Dr,4,4112,2,1500.0,8,2.0,0.0,6000.0,0.0,580000.0,44.2326,-76.5884,4
4115,657 Barnsley Cres,4,4115,3,1501.0,11,2.0,0.0,4867.56,0.0,550000.0,44.2319,-76.5967,4
4132,418 Conservatory Dr,4,4132,3,1616.0,7,2.0,1.0,3650.0,0.0,762000.0,44.2319,-76.5915,4
116709,661 Roosevelt Drive ,4,116709,2,1750.0,8,0.0,0.0,6000.0,0.0,580000.0,44.2326,-76.5884,4
130246,657 Barnsley Crescent ,4,130246,3,1506.0,11,0.0,0.0,4847.0,0.0,550000.0,44.2319,-76.5967,4
152826,418 Conservatory Drive ,4,152826,3,1596.0,7,0.0,0.0,3640.0,0.0,762000.0,44.2319,-76.5915,4
4104,1001 Lombardy St,4,4104,4,1500.0,13,3.0,1.0,6299.39,0.0,615000.0,44.2394,-76.5895,4
77837,605 Truedell Rd ,4,77837,3,1300.0,7,2.0,0.0,5400.0,40.0,595000.0,44.2422,-76.5804,4
77856,Unit 108 - 835 Milford Dr ,4,77856,1,550.0,5,1.0,0.0,0.0,75.0,253750.0,44.2508,-76.5839,4
77968,771 ASHWOOD Dr ,4,77968,3,1100.0,6,1.0,0.0,0.0,40.0,327000.0,44.2488,-76.5889,4
126035,1001 Lombardy Street ,2,126035,4,1750.0,13,0.0,0.0,6279.0,0.0,615000.0,44.2394,-76.5895,2
146404,605 Truedell Road ,4,146404,3,1300.0,7,0.0,0.0,5400.0,0.0,595000.0,44.2422,-76.5804,4
161844,771 ASHWOOD Drive ,4,161844,3,1100.0,6,0.0,0.0,0.0,0.0,327000.0,44.2488,-76.5889,4
162303,Unit 108 - 835 Milford Drive ,4,162303,2,550.0,5,0.0,0.0,0.0,0.0,253750.0,44.2508,-76.5839,4
77521,494 Roosevelt Dr ,4,77521,3,1300.0,7,2.0,0.0,6900.0,40.0,570000.0,44.2343,-76.5812,4
77694,393 Bernice Dr ,4,77694,4,2470.0,11,4.0,0.0,7500.0,40.0,875000.0,44.2316,-76.5828,4
77711,871 Crestwood Ave ,4,77711,4,2750.0,11,2.0,0.0,6500.0,40.0,725000.0,44.2524,-76.6002,4
146246,494 Roosevelt Drive ,4,146246,3,1300.0,7,0.0,0.0,6900.0,0.0,570000.0,44.2343,-76.5812,4
164415,871 Crestwood Avenue ,4,164415,4,2750.0,11,0.0,0.0,6500.0,0.0,725000.0,44.2524,-76.6002,4
195813,393 Bernice Drive ,4,195813,4,2482.0,11,0.0,0.0,7500.0,0.0,875000.0,44.2316,-76.5828,4
77279,760 Grouse Cres ,0,77279,3,1156.0,6,2.0,0.0,6987.0,40.0,455000.0,44.2493,-76.5827,0
77437,698 Fleet St ,4,77437,3,1493.0,11,2.0,0.0,6600.0,0.0,500000.0,44.2454,-76.5947,4
77475,912 OAKVIEW St ,4,77475,3,1300.0,7,1.0,0.0,0.0,0.0,331000.0,44.2486,-76.5875,4
121951,698 Fleet Street ,2,121951,3,1504.0,11,0.0,0.0,6600.0,0.0,500000.0,44.2454,-76.5947,2
